molecule_chembl_id,canonical_smiles,Activity Class
CHEMBL562223,C[C@H](C/C=C\C(C)(C)OO)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,0
CHEMBL574280,O=C(N/N=C/c1ccc(F)cc1)c1ccc(N2CCOCC2)cc1,0
CHEMBL574967,O=C(N/N=C/c1ccc(O)cc1)c1ccc(N2CCOCC2)cc1,1
CHEMBL574968,COc1ccc(/C=N/NC(=O)c2ccc(N3CCOCC3)cc2)cc1,1
CHEMBL584002,CN(C)c1ccc(/C=N/NC(=O)c2ccc(N3CCOCC3)cc2)cc1,1
CHEMBL572644,Cc1ccc(/C=N/NC(=O)c2ccc(N3CCOCC3)cc2)cc1,0
CHEMBL574275,O=C(N/N=C1\C=CCO1)c1ccc(N2CCOCC2)cc1,1
CHEMBL575398,O=C(N/N=C/c1cccc([N+](=O)[O-])c1)c1ccc(N2CCOCC2)cc1,1
CHEMBL575399,O=C(N/N=C/c1ccc(Cl)cc1)c1ccc(N2CCOCC2)cc1,1
CHEMBL606867,COc1ccc(Cn2cnc3c(Cc4ccco4)nc(Cl)nc32)cc1,1
CHEMBL364019,COc1ccc(Cn2cnc3c(-c4ccco4)nc(Cl)nc32)cc1,1
CHEMBL604262,COc1ccc(Cn2cnc3c(-c4cc5ccccc5o4)nc(Cl)nc32)cc1,1
CHEMBL594885,COc1ccc(Cn2cnc3c(/C=C4\OCc5ccccc54)nc(Cl)nc32)cc1,1
CHEMBL596024,COc1ccc(Cn2cnc3c(Cc4ccccc4)nc(Cl)nc32)cc1,1
CHEMBL595337,COc1ccc(Cn2cnc3c(/C=C/c4ccccc4)nc(Cl)nc32)cc1,1
CHEMBL594645,C(=C1\OCc2ccccc21)\c1ncnc2c1ncn2Cc1ccccc1,1
CHEMBL509849,O=C1C(Br)=CC2(C=C1Br)CCNC1=C2C2=NCCc3c[nH]c(c32)C1=O,1
CHEMBL1096119,C/C(=N\Nc1nc(-c2cccs2)cs1)c1ccccn1,1
CHEMBL1096120,C/C(=N\Nc1nc(-c2cccs2)cs1)c1cccnc1,1
CHEMBL1096121,C/C(=N\Nc1nc(-c2cccs2)cs1)c1ccncc1,1
CHEMBL1096458,COc1ccc(O)c(-c2csc(N/N=C(\C)c3ccccn3)n2)c1,1
CHEMBL1096995,COc1ccc(O)c(-c2csc(N/N=C(\C)c3cccnc3)n2)c1,1
CHEMBL1087717,COc1ccc(O)c(-c2csc(N/N=C(\C)c3ccncc3)n2)c1,1
CHEMBL1163619,COc1ccc(CN(C)c2cc(-c3ccco3)ncn2)cc1,1
CHEMBL1163618,COc1ccc(COc2cc(-c3ccco3)ncn2)cc1,1
CHEMBL1163572,COc1ccc(CNc2cc(-c3ccco3)nc(Cl)n2)cc1,1
CHEMBL1163573,COc1ccc(CN(C)c2cc(-c3ccco3)nc(Cl)n2)cc1,1
CHEMBL1163574,COc1ccc(COc2cc(-c3ccco3)nc(Cl)n2)cc1,1
CHEMBL1164559,COc1ccc(CN(C)c2ncnc(-c3ccco3)c2N)cc1,1
CHEMBL1165589,COc1ccc(COc2ncnc(-c3ccco3)c2N)cc1,1
CHEMBL1163844,CNc1c(NCc2ccc(OC)cc2)ncnc1-c1ccco1,1
CHEMBL1163922,CCNc1c(NCc2ccc(OC)cc2)ncnc1-c1ccco1,1
CHEMBL1165678,COc1ccc(CNc2ncnc(-c3ccco3)c2N(C)C)cc1,1
CHEMBL1165525,COc1ccc(CNc2ncnc(-c3ccco3)c2[N+](=O)[O-])cc1,1
CHEMBL1164094,COc1ccc(CN(C)c2ncnc(-c3ccco3)c2[N+](=O)[O-])cc1,1
CHEMBL1164182,COc1ccc(COc2ncnc(-c3ccco3)c2[N+](=O)[O-])cc1,1
CHEMBL1164414,COc1ccc(CNc2ncnc(-c3ccco3)c2NC=O)cc1,1
CHEMBL1165746,COc1ccc(CNc2nc([N+](=O)[O-])nc(-c3ccco3)c2NC=O)cc1,1
CHEMBL1164359,COc1ccc(CNc2nc(F)nc(-c3ccco3)c2NC=O)cc1,1
CHEMBL1164360,COc1ccc(CNc2nc(Cl)nc(-c3ccco3)c2NC=O)cc1,1
CHEMBL1164361,COc1ccc(CNc2nc(C)nc(-c3ccco3)c2NC=O)cc1,1
CHEMBL1164461,CCc1nc(NCc2ccc(OC)cc2)c(NC=O)c(-c2ccco2)n1,1
